GEO_ID,NAME,B25004_001E,B25004_001M,B25004_002E,B25004_002M,B25004_003E,B25004_003M,B25004_004E,B25004_004M,B25004_005E,B25004_005M,B25004_006E,B25004_006M,B25004_007E,B25004_007M,B25004_008E,B25004_008M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!For rent,Margin of Error!!Total!!For rent,"Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied",Estimate!!Total!!For sale only,Margin of Error!!Total!!For sale only,"Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use",Estimate!!Total!!For migrant workers,Margin of Error!!Total!!For migrant workers,Estimate!!Total!!Other vacant,Margin of Error!!Total!!Other vacant
1400000US36001000100,"Census Tract 1, Albany County, New York",120,43,9,14,0,12,19,26,0,12,0,12,0,12,92,37
1400000US36001000200,"Census Tract 2, Albany County, New York",845,189,117,96,92,86,76,73,0,12,0,12,0,12,560,161
1400000US36001000300,"Census Tract 3, Albany County, New York",428,200,99,105,118,109,0,17,0,17,51,84,0,17,160,133
1400000US36001000401,"Census Tract 4.01, Albany County, New York",102,61,72,58,0,12,24,28,0,12,0,12,0,12,6,9
1400000US36001000403,"Census Tract 4.03, Albany County, New York",300,142,84,67,0,12,83,97,0,12,35,38,0,12,98,95
1400000US36001000404,"Census Tract 4.04, Albany County, New York",13,20,0,17,0,17,0,17,0,17,0,17,0,17,13,20
1400000US36001000501,"Census Tract 5.01, Albany County, New York",309,135,47,53,73,69,28,44,0,12,0,12,0,12,161,98
1400000US36001000502,"Census Tract 5.02, Albany County, New York",120,58,38,32,0,12,0,12,11,18,12,19,0,12,59,51
1400000US36001000600,"Census Tract 6, Albany County, New York",336,115,84,66,18,28,0,12,0,12,0,12,0,12,234,94
1400000US36001000700,"Census Tract 7, Albany County, New York",603,133,100,63,4,13,73,51,16,26,9,14,0,12,401,118
1400000US36001000800,"Census Tract 8, Albany County, New York",412,99,64,49,12,19,63,48,0,12,0,12,0,12,273,81
1400000US36001001100,"Census Tract 11, Albany County, New York",182,68,19,30,21,29,0,12,0,12,0,12,0,12,142,64
1400000US36001001400,"Census Tract 14, Albany County, New York",202,142,41,66,0,12,0,12,0,12,0,12,0,12,161,128
1400000US36001001500,"Census Tract 15, Albany County, New York",452,185,255,143,103,90,0,12,0,12,0,12,0,12,94,103
1400000US36001001600,"Census Tract 16, Albany County, New York",221,99,84,58,46,50,0,12,0,12,0,12,0,12,91,69
1400000US36001001700,"Census Tract 17, Albany County, New York",176,95,90,78,0,12,0,12,0,12,0,12,0,12,86,70
1400000US36001001801,"Census Tract 18.01, Albany County, New York",93,105,0,17,0,17,0,17,61,89,0,17,0,17,32,51
1400000US36001001802,"Census Tract 18.02, Albany County, New York",196,87,26,41,21,34,49,53,0,12,0,12,0,12,100,71
1400000US36001001901,"Census Tract 19.01, Albany County, New York",42,53,42,53,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36001001902,"Census Tract 19.02, Albany County, New York",183,95,17,26,29,45,0,12,0,12,30,49,0,12,107,86
1400000US36001002000,"Census Tract 20, Albany County, New York",345,238,0,17,0,17,36,57,0,17,0,17,0,17,309,234
1400000US36001002100,"Census Tract 21, Albany County, New York",290,113,56,55,22,38,24,38,0,12,0,12,0,12,188,96
1400000US36001002200,"Census Tract 22, Albany County, New York",120,75,41,49,37,40,0,12,0,12,0,12,0,12,42,39
1400000US36001002300,"Census Tract 23, Albany County, New York",302,105,71,54,56,48,0,12,0,12,0,12,0,12,175,91
1400000US36001002500,"Census Tract 25, Albany County, New York",513,118,63,45,0,12,93,60,0,12,0,12,0,12,357,114
1400000US36001002600,"Census Tract 26, Albany County, New York",513,160,89,83,0,12,0,12,0,12,0,12,0,12,424,140
1400000US36001012700,"Census Tract 127, Albany County, New York",175,103,37,57,26,42,0,12,21,33,0,12,0,12,91,64
1400000US36001012800,"Census Tract 128, Albany County, New York",422,124,82,81,35,39,0,12,38,45,0,12,0,12,267,96
1400000US36001012900,"Census Tract 129, Albany County, New York",242,105,94,69,26,39,0,12,0,12,0,12,0,12,122,75
1400000US36001013000,"Census Tract 130, Albany County, New York",173,130,36,49,0,17,0,17,0,17,0,17,0,17,137,119
1400000US36001013100,"Census Tract 131, Albany County, New York",108,72,17,26,20,32,0,12,0,12,0,12,0,12,71,59
1400000US36001013200,"Census Tract 132, Albany County, New York",186,90,25,32,0,12,0,12,0,12,0,12,0,12,161,88
1400000US36001013300,"Census Tract 133, Albany County, New York",145,118,33,58,0,12,0,12,0,12,39,61,0,12,73,69
1400000US36001013400,"Census Tract 134, Albany County, New York",215,102,26,41,0,12,36,35,0,12,0,12,0,12,153,86
1400000US36001013503,"Census Tract 135.03, Albany County, New York",61,63,18,27,35,57,0,17,0,17,0,17,0,17,8,13
1400000US36001013505,"Census Tract 135.05, Albany County, New York",71,44,0,12,0,12,0,12,0,12,18,28,0,12,53,42
1400000US36001013506,"Census Tract 135.06, Albany County, New York",50,64,0,17,0,17,50,64,0,17,0,17,0,17,0,17
1400000US36001013507,"Census Tract 135.07, Albany County, New York",6,9,0,12,0,12,0,12,0,12,6,9,0,12,0,12
1400000US36001013508,"Census Tract 135.08, Albany County, New York",124,91,0,17,0,17,45,68,14,23,0,17,0,17,65,61
1400000US36001013601,"Census Tract 136.01, Albany County, New York",297,143,35,56,97,94,7,13,0,17,0,17,0,17,158,113
1400000US36001013602,"Census Tract 136.02, Albany County, New York",134,95,0,12,84,90,0,12,0,12,0,12,0,12,50,47
1400000US36001013703,"Census Tract 137.03, Albany County, New York",30,30,0,12,0,12,0,12,0,12,0,12,0,12,30,30
1400000US36001013705,"Census Tract 137.05, Albany County, New York",217,159,0,17,0,17,0,17,48,77,37,56,0,17,132,116
1400000US36001013706,"Census Tract 137.06, Albany County, New York",20,23,0,12,0,12,0,12,15,23,0,12,0,12,5,7
1400000US36001013707,"Census Tract 137.07, Albany County, New York",185,102,0,17,0,17,82,76,0,17,89,72,0,17,14,23
1400000US36001013801,"Census Tract 138.01, Albany County, New York",196,147,0,17,0,17,0,17,0,17,0,17,0,17,196,147
1400000US36001013802,"Census Tract 138.02, Albany County, New York",90,61,0,12,25,37,0,12,29,43,0,12,0,12,36,42
1400000US36001013901,"Census Tract 139.01, Albany County, New York",35,32,0,12,0,12,0,12,0,12,0,12,0,12,35,32
1400000US36001013902,"Census Tract 139.02, Albany County, New York",165,121,0,17,0,17,61,71,0,17,0,17,0,17,104,100
1400000US36001014001,"Census Tract 140.01, Albany County, New York",142,88,40,58,0,12,0,12,0,12,7,12,0,12,95,68
1400000US36001014002,"Census Tract 140.02, Albany County, New York",134,94,25,38,0,12,31,46,0,12,0,12,0,12,78,74
1400000US36001014100,"Census Tract 141, Albany County, New York",161,107,0,17,98,80,0,17,0,17,15,24,0,17,48,74
1400000US36001014201,"Census Tract 142.01, Albany County, New York",118,113,0,17,0,17,16,26,50,75,0,17,0,17,52,77
1400000US36001014202,"Census Tract 142.02, Albany County, New York",145,110,64,82,0,17,0,17,0,17,45,60,0,17,36,51
1400000US36001014203,"Census Tract 142.03, Albany County, New York",49,76,0,17,0,17,0,17,0,17,49,76,0,17,0,17
1400000US36001014301,"Census Tract 143.01, Albany County, New York",54,58,0,12,27,42,0,12,0,12,0,12,0,12,27,44
1400000US36001014302,"Census Tract 143.02, Albany County, New York",200,115,157,106,0,17,43,66,0,17,0,17,0,17,0,17
1400000US36001014401,"Census Tract 144.01, Albany County, New York",245,106,22,36,0,12,31,46,0,12,22,36,0,12,170,85
1400000US36001014402,"Census Tract 144.02, Albany County, New York",155,85,62,58,0,12,28,44,0,12,37,47,0,12,28,44
1400000US36001014501,"Census Tract 145.01, Albany County, New York",63,55,0,12,0,12,22,34,18,28,0,12,0,12,23,34
1400000US36001014502,"Census Tract 145.02, Albany County, New York",127,78,0,12,0,12,27,40,23,36,55,53,0,12,22,35
1400000US36001014503,"Census Tract 145.03, Albany County, New York",94,47,0,12,0,12,0,12,0,12,59,44,0,12,35,35
1400000US36001014606,"Census Tract 146.06, Albany County, New York",94,80,0,12,0,12,7,14,0,12,32,48,0,12,55,59
1400000US36001014607,"Census Tract 146.07, Albany County, New York",180,106,26,40,89,91,21,29,19,28,0,17,0,17,25,40
1400000US36001014608,"Census Tract 146.08, Albany County, New York",41,38,0,12,0,12,6,9,0,12,0,12,0,12,35,37
1400000US36001014609,"Census Tract 146.09, Albany County, New York",49,79,49,79,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36001014611,"Census Tract 146.11, Albany County, New York",38,36,18,28,0,12,6,9,0,12,0,12,0,12,14,21
1400000US36001014612,"Census Tract 146.12, Albany County, New York",11,18,0,12,0,12,0,12,0,12,0,12,0,12,11,18
1400000US36001014613,"Census Tract 146.13, Albany County, New York",117,75,80,68,0,12,18,30,0,12,0,12,0,12,19,29
1400000US36001014614,"Census Tract 146.14, Albany County, New York",76,74,45,68,0,17,0,17,0,17,0,17,0,17,31,35
1400000US36001014615,"Census Tract 146.15, Albany County, New York",116,78,51,54,0,12,11,16,0,12,0,12,0,12,54,56
1400000US36001014700,"Census Tract 147, Albany County, New York",163,48,13,21,0,12,16,20,32,31,44,29,0,12,58,35
1400000US36001014801,"Census Tract 148.01, Albany County, New York",470,75,27,31,17,27,54,46,30,34,271,78,0,12,71,50
1400000US36001014802,"Census Tract 148.02, Albany County, New York",594,60,0,12,0,12,25,23,9,15,477,62,0,12,83,39
1400000US36001014803,"Census Tract 148.03, Albany County, New York",421,121,0,12,0,12,26,41,0,12,268,103,0,12,127,78
1400000US36003940200,"Census Tract 9402, Allegany County, New York",1,2,0,12,0,12,0,12,0,12,0,12,0,12,1,2
1400000US36003950100,"Census Tract 9501, Allegany County, New York",741,52,10,9,0,12,10,11,0,12,611,52,0,12,110,36
1400000US36003950300,"Census Tract 9503, Allegany County, New York",434,80,27,29,10,16,23,20,0,12,256,61,0,12,118,43
1400000US36003950400,"Census Tract 9504, Allegany County, New York",1762,115,0,12,0,12,59,46,0,12,1591,118,0,12,112,53
1400000US36003950500,"Census Tract 9505, Allegany County, New York",801,96,22,21,0,12,9,14,9,16,630,93,0,12,131,60
1400000US36003950600,"Census Tract 9506, Allegany County, New York",508,85,30,29,22,25,14,16,0,12,287,67,0,12,155,59
1400000US36003950700,"Census Tract 9507, Allegany County, New York",338,95,36,43,20,29,15,17,7,11,124,36,0,12,136,85
1400000US36003950800,"Census Tract 9508, Allegany County, New York",520,75,82,45,14,15,33,17,7,9,312,51,0,17,72,39
1400000US36003950900,"Census Tract 9509, Allegany County, New York",258,64,52,34,0,12,28,23,0,12,125,50,0,12,53,37
1400000US36003951000,"Census Tract 9510, Allegany County, New York",470,92,54,52,0,12,44,30,0,12,213,58,0,12,159,89
1400000US36003951100,"Census Tract 9511, Allegany County, New York",417,94,33,39,0,12,45,45,19,18,206,46,0,12,114,59
1400000US36003951200,"Census Tract 9512, Allegany County, New York",838,80,56,41,0,12,22,22,13,15,615,82,0,12,132,49
1400000US36003951300,"Census Tract 9513, Allegany County, New York",1203,83,30,26,9,10,17,13,0,12,1001,89,0,12,146,48
1400000US36005000100,"Census Tract 1, Bronx County, New York",0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005000200,"Census Tract 2, Bronx County, New York",158,74,15,23,0,12,15,24,0,12,0,12,0,12,128,67
1400000US36005000400,"Census Tract 4, Bronx County, New York",152,83,87,71,0,17,31,35,0,17,9,14,0,17,25,29
1400000US36005001600,"Census Tract 16, Bronx County, New York",87,74,23,37,43,47,0,17,0,17,0,17,0,17,21,34
1400000US36005001900,"Census Tract 19, Bronx County, New York",73,36,21,23,0,12,11,17,0,12,10,16,0,12,31,23
1400000US36005002000,"Census Tract 20, Bronx County, New York",64,76,0,17,0,17,0,17,0,17,0,17,0,17,64,76
1400000US36005002300,"Census Tract 23, Bronx County, New York",9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005002400,"Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005002500,"Census Tract 25, Bronx County, New York",141,68,29,33,29,35,31,35,15,24,17,25,20,30,0,17
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",31,35,0,12,16,26,0,12,0,12,0,12,0,12,15,23
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",21,31,0,12,0,12,0,12,0,12,0,12,0,12,21,31
1400000US36005002800,"Census Tract 28, Bronx County, New York",134,112,61,78,0,17,36,58,0,17,0,17,0,17,37,57
1400000US36005003100,"Census Tract 31, Bronx County, New York",15,24,0,12,0,12,15,24,0,12,0,12,0,12,0,12
1400000US36005003300,"Census Tract 33, Bronx County, New York",53,47,37,41,0,12,0,12,0,12,0,12,0,12,16,25
1400000US36005003500,"Census Tract 35, Bronx County, New York",91,60,57,49,0,12,0,12,0,12,0,12,0,12,34,39
1400000US36005003700,"Census Tract 37, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005003800,"Census Tract 38, Bronx County, New York",29,25,20,25,0,12,0,12,0,12,0,12,0,12,9,15
1400000US36005003900,"Census Tract 39, Bronx County, New York",253,120,102,87,0,17,51,57,25,41,0,17,0,17,75,69
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",68,43,9,14,0,12,9,14,0,12,19,26,0,12,31,28
1400000US36005004100,"Census Tract 41, Bronx County, New York",178,133,38,60,64,93,31,48,0,17,0,17,0,17,45,65
1400000US36005004200,"Census Tract 42, Bronx County, New York",68,87,68,87,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005004300,"Census Tract 43, Bronx County, New York",74,50,31,36,30,33,0,17,0,17,0,17,0,17,13,20
1400000US36005004400,"Census Tract 44, Bronx County, New York",60,57,19,31,0,12,0,12,0,12,0,12,0,12,41,48
1400000US36005004600,"Census Tract 46, Bronx County, New York",4,6,0,12,0,12,0,12,0,12,0,12,0,12,4,6
1400000US36005004800,"Census Tract 48, Bronx County, New York",83,51,31,32,0,12,0,12,0,12,0,12,0,12,52,45
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",86,49,17,27,0,12,0,12,0,12,0,12,0,12,69,47
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",111,76,58,53,3,14,0,17,0,17,0,17,0,17,50,46
1400000US36005005100,"Census Tract 51, Bronx County, New York",60,65,0,17,34,53,0,17,0,17,0,17,0,17,26,41
1400000US36005005200,"Census Tract 52, Bronx County, New York",45,38,11,20,0,12,0,12,0,12,0,12,0,12,34,29
1400000US36005005300,"Census Tract 53, Bronx County, New York",103,55,89,51,0,12,0,12,0,12,0,12,0,12,14,22
1400000US36005005400,"Census Tract 54, Bronx County, New York",195,87,0,17,0,17,18,29,0,17,0,17,0,17,177,86
1400000US36005005600,"Census Tract 56, Bronx County, New York",137,53,18,19,9,14,9,14,0,12,0,12,0,12,101,46
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",67,58,0,12,23,38,23,35,0,12,0,12,0,12,21,33
1400000US36005006000,"Census Tract 60, Bronx County, New York",38,29,0,12,0,12,0,12,0,12,0,12,0,12,38,29
1400000US36005006100,"Census Tract 61, Bronx County, New York",185,135,114,113,0,12,71,88,0,12,0,12,0,12,0,12
1400000US36005006200,"Census Tract 62, Bronx County, New York",166,118,65,75,0,17,0,17,0,17,29,48,0,17,72,78
1400000US36005006300,"Census Tract 63, Bronx County, New York",97,68,57,52,0,12,0,12,0,12,24,39,0,12,16,24
1400000US36005006400,"Census Tract 64, Bronx County, New York",88,57,0,12,0,12,0,12,0,12,0,12,0,12,88,57
1400000US36005006500,"Census Tract 65, Bronx County, New York",79,51,15,25,0,17,0,17,0,17,0,17,0,17,64,51
1400000US36005006700,"Census Tract 67, Bronx County, New York",95,82,0,17,0,17,0,17,0,17,0,17,0,17,95,82
1400000US36005006800,"Census Tract 68, Bronx County, New York",50,45,0,12,34,37,0,12,0,12,0,12,0,12,16,25
1400000US36005006900,"Census Tract 69, Bronx County, New York",86,74,45,58,0,17,21,33,0,17,0,17,0,17,20,34
1400000US36005007000,"Census Tract 70, Bronx County, New York",112,61,17,27,0,12,19,31,16,27,17,27,0,12,43,41
1400000US36005007100,"Census Tract 71, Bronx County, New York",12,18,0,12,0,12,12,18,0,12,0,12,0,12,0,12
1400000US36005007200,"Census Tract 72, Bronx County, New York",68,52,0,17,0,17,0,17,17,27,0,17,0,17,51,45
1400000US36005007300,"Census Tract 73, Bronx County, New York",50,50,34,46,0,12,0,12,0,12,16,23,0,12,0,12
1400000US36005007400,"Census Tract 74, Bronx County, New York",101,64,47,46,21,33,0,12,0,12,0,12,0,12,33,36
1400000US36005007500,"Census Tract 75, Bronx County, New York",160,91,101,74,0,17,0,17,0,17,0,17,0,17,59,54
1400000US36005007600,"Census Tract 76, Bronx County, New York",100,65,15,24,18,28,0,17,0,17,0,17,24,40,43,41
1400000US36005007700,"Census Tract 77, Bronx County, New York",28,26,0,12,0,12,0,12,0,12,0,12,0,12,28,26
1400000US36005007800,"Census Tract 78, Bronx County, New York",136,92,24,38,28,46,0,17,0,17,0,17,0,17,84,79
1400000US36005007900,"Census Tract 79, Bronx County, New York",107,99,56,68,0,17,0,17,0,17,36,51,0,17,15,25
1400000US36005008300,"Census Tract 83, Bronx County, New York",125,71,68,49,0,17,0,17,0,17,0,17,0,17,57,59
1400000US36005008400,"Census Tract 84, Bronx County, New York",45,29,27,25,0,12,0,12,8,13,10,16,0,12,0,12
1400000US36005008500,"Census Tract 85, Bronx County, New York",85,57,57,51,0,17,14,21,0,17,0,17,0,17,14,22
1400000US36005008600,"Census Tract 86, Bronx County, New York",19,28,0,12,19,28,0,12,0,12,0,12,0,12,0,12
1400000US36005008700,"Census Tract 87, Bronx County, New York",92,63,17,28,0,17,0,17,16,26,15,24,0,17,44,41
1400000US36005008900,"Census Tract 89, Bronx County, New York",129,66,11,17,0,12,0,12,0,12,0,12,0,12,118,63
1400000US36005009000,"Census Tract 90, Bronx County, New York",20,30,20,30,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005009200,"Census Tract 92, Bronx County, New York",136,67,13,21,35,33,0,17,0,17,11,16,0,17,77,52
1400000US36005009300,"Census Tract 93, Bronx County, New York",272,99,17,26,18,31,0,17,0,17,94,63,0,17,143,82
1400000US36005009600,"Census Tract 96, Bronx County, New York",50,33,12,19,0,12,0,12,0,12,0,12,0,12,38,28
1400000US36005009800,"Census Tract 98, Bronx County, New York",139,96,47,53,0,12,0,12,67,61,0,12,0,12,25,40
1400000US36005011000,"Census Tract 110, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",232,81,34,40,0,12,17,27,0,12,17,28,0,12,164,74
1400000US36005011700,"Census Tract 117, Bronx County, New York",75,44,14,23,39,29,0,12,0,12,0,12,0,12,22,26
1400000US36005011800,"Census Tract 118, Bronx County, New York",44,46,0,17,0,17,7,10,11,19,0,17,0,17,26,41
1400000US36005011900,"Census Tract 119, Bronx County, New York",174,85,0,17,18,29,0,17,18,30,14,21,0,17,124,74
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",89,39,19,21,9,14,0,12,10,17,10,17,0,12,41,27
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",27,28,0,12,0,12,0,12,0,12,0,12,0,12,27,28
1400000US36005012300,"Census Tract 123, Bronx County, New York",144,69,0,12,0,12,0,12,0,12,29,33,0,12,115,64
1400000US36005012500,"Census Tract 125, Bronx County, New York",141,75,21,29,0,12,0,12,0,12,0,12,0,12,120,67
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",96,48,0,12,11,20,0,12,0,12,12,19,0,12,73,40
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",109,79,0,12,0,12,0,12,0,12,33,51,0,12,76,66
1400000US36005013000,"Census Tract 130, Bronx County, New York",19,23,0,12,0,12,0,12,0,12,7,12,0,12,12,20
1400000US36005013100,"Census Tract 131, Bronx County, New York",189,90,0,17,21,34,0,17,0,17,60,46,0,17,108,76
1400000US36005013200,"Census Tract 132, Bronx County, New York",58,69,0,17,0,17,58,69,0,17,0,17,0,17,0,17
1400000US36005013300,"Census Tract 133, Bronx County, New York",80,88,0,17,0,17,0,17,0,17,0,17,0,17,80,88
1400000US36005013500,"Census Tract 135, Bronx County, New York",118,62,17,28,0,12,0,12,0,12,0,12,0,12,101,57
1400000US36005013800,"Census Tract 138, Bronx County, New York",138,83,50,55,9,20,0,12,53,42,0,12,0,12,26,41
1400000US36005014100,"Census Tract 141, Bronx County, New York",110,69,58,54,0,17,35,38,0,17,0,17,0,17,17,28
1400000US36005014300,"Census Tract 143, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005014400,"Census Tract 144, Bronx County, New York",87,95,35,53,0,17,52,74,0,17,0,17,0,17,0,17
1400000US36005014500,"Census Tract 145, Bronx County, New York",29,47,29,47,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",77,61,2,14,38,61,0,17,0,17,0,17,0,17,37,64
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005014900,"Census Tract 149, Bronx County, New York",87,55,7,15,0,12,0,12,16,27,0,12,0,12,64,52
1400000US36005015100,"Census Tract 151, Bronx County, New York",206,74,52,42,0,17,25,27,12,19,0,17,0,17,117,64
1400000US36005015200,"Census Tract 152, Bronx County, New York",46,26,20,22,0,12,10,17,0,12,0,12,0,12,16,21
1400000US36005015300,"Census Tract 153, Bronx County, New York",99,73,28,35,0,12,0,12,0,12,0,12,0,12,71,64
1400000US36005015500,"Census Tract 155, Bronx County, New York",8,14,8,14,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005015700,"Census Tract 157, Bronx County, New York",87,64,10,17,0,12,0,12,0,12,0,12,0,12,77,61
1400000US36005015800,"Census Tract 158, Bronx County, New York",92,40,35,32,0,12,11,19,15,22,0,12,0,12,31,27
1400000US36005015900,"Census Tract 159, Bronx County, New York",15,21,0,12,3,7,0,12,0,12,0,12,0,12,12,20
1400000US36005016000,"Census Tract 160, Bronx County, New York",81,77,21,34,0,12,21,33,32,47,7,11,0,12,0,12
1400000US36005016100,"Census Tract 161, Bronx County, New York",104,75,27,42,25,39,0,12,0,12,0,12,0,12,52,48
1400000US36005016200,"Census Tract 162, Bronx County, New York",41,31,0,12,0,12,0,12,0,12,0,12,0,12,41,31
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005016400,"Census Tract 164, Bronx County, New York",44,29,0,12,0,12,11,18,0,12,5,7,0,12,28,23
1400000US36005016500,"Census Tract 165, Bronx County, New York",53,29,27,26,0,12,0,12,0,12,0,12,0,12,26,18
1400000US36005016600,"Census Tract 166, Bronx County, New York",61,38,26,29,0,12,12,18,0,12,11,17,0,12,12,19
1400000US36005016700,"Census Tract 167, Bronx County, New York",33,22,0,12,0,12,9,14,0,12,0,12,0,12,24,18
1400000US36005016900,"Census Tract 169, Bronx County, New York",22,24,13,20,0,12,0,12,0,12,0,12,0,12,9,15
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005017300,"Census Tract 173, Bronx County, New York",26,44,0,17,0,17,0,17,0,17,0,17,0,17,26,44
1400000US36005017500,"Census Tract 175, Bronx County, New York",33,53,0,17,0,17,0,17,0,17,0,17,0,17,33,53
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",218,82,114,66,0,12,0,12,0,12,0,12,0,12,104,66
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",150,83,47,53,0,17,0,17,21,34,0,17,0,17,82,58
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",101,80,89,76,0,17,0,17,0,17,0,17,0,17,12,21
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",22,34,0,12,0,12,0,12,0,12,0,12,0,12,22,34
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",51,44,15,25,0,12,0,12,0,12,0,12,0,12,36,37
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",80,57,0,17,47,42,0,17,0,17,18,29,0,17,15,25
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",59,52,29,34,0,12,0,12,0,12,0,12,0,12,30,34
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",46,40,38,37,0,12,0,12,0,12,0,12,0,12,8,15
1400000US36005018400,"Census Tract 184, Bronx County, New York",71,56,0,12,6,16,0,12,0,12,0,12,0,12,65,54
1400000US36005018500,"Census Tract 185, Bronx County, New York",177,129,62,72,0,17,0,17,0,17,0,17,0,17,115,108
1400000US36005018900,"Census Tract 189, Bronx County, New York",77,79,0,17,36,58,0,17,0,17,14,24,0,17,27,44
1400000US36005019300,"Census Tract 193, Bronx County, New York",159,105,68,76,0,17,0,17,0,17,15,30,0,17,76,85
1400000US36005019400,"Census Tract 194, Bronx County, New York",60,36,6,8,0,12,0,12,0,12,4,7,0,12,50,36
1400000US36005019500,"Census Tract 195, Bronx County, New York",58,64,29,47,0,17,0,17,0,17,0,17,0,17,29,46
1400000US36005019700,"Census Tract 197, Bronx County, New York",22,35,22,35,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005019900,"Census Tract 199, Bronx County, New York",53,61,27,45,0,17,0,17,0,17,0,17,0,17,26,42
1400000US36005020000,"Census Tract 200, Bronx County, New York",152,104,66,75,45,45,0,12,13,20,0,12,0,12,28,31
1400000US36005020100,"Census Tract 201, Bronx County, New York",95,61,19,30,0,12,0,12,0,12,0,12,0,12,76,57
1400000US36005020200,"Census Tract 202, Bronx County, New York",72,37,24,22,27,26,0,12,9,14,0,12,0,12,12,18
1400000US36005020400,"Census Tract 204, Bronx County, New York",56,45,0,12,0,12,0,12,0,12,0,12,0,12,56,45
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",86,80,58,68,0,17,0,17,28,44,0,17,0,17,0,17
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",58,35,21,22,0,12,0,12,0,12,0,12,0,12,37,29
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",74,59,22,36,0,12,21,33,0,12,0,12,0,12,31,38
1400000US36005020900,"Census Tract 209, Bronx County, New York",83,57,9,15,14,22,0,12,0,12,0,12,0,12,60,56
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",213,140,40,64,41,66,0,17,49,78,19,30,0,17,64,74
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005021100,"Census Tract 211, Bronx County, New York",116,64,74,55,0,17,0,17,0,17,0,17,0,17,42,38
1400000US36005021200,"Census Tract 212, Bronx County, New York",145,134,73,81,72,109,0,12,0,12,0,12,0,12,0,12
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",8,13,0,12,0,12,0,12,0,12,0,12,0,12,8,13
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",141,115,41,66,0,17,0,17,0,17,0,17,0,17,100,96
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",56,50,38,42,0,12,0,12,0,12,0,12,0,12,18,30
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",68,56,0,17,21,34,0,17,0,17,0,17,0,17,47,45
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",105,74,14,22,0,12,0,12,0,12,0,12,0,12,91,69
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",158,101,56,64,0,17,0,17,26,41,0,17,0,17,76,70
